Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,,,,,,,,,,, ,, ,, 
1/1/1985,1,-2,-4,,,,,,,,,,,,,,,
1/2/1985,4,1,-2,,,,,,,,,,,,,,,
1/3/1985,2,0,-2,,,,,,,,,,,,,,,
1/4/1985,4,1,-3,,,,,,,,,,,,,,,
1/5/1985,8,5,2,,,,,,,,,,,,,,,
1/6/1985,6,3,1,,,,,,,,,,,,,,,
1/7/1985,9,4,1,,,,,,,,,,,,,,,
1/8/1985,7,2,-2,,,,,,,,,,,,,,,
1/9/1985,6,2,-1,,,,,,,,,,,,,,,
1/10/1985,5,1,-3,,,,,,,,,,,,,,,
1/11/1985,3,0,-3,,,,,,,,,,,,,,,
1/12/1985,8,4,1,,,,,,,,,,,,,,,
1/13/1985,6,2,-1,,,,,,,,,,,,,,,
1/14/1985,8,4,2,,,,,,,,,,,,,,,
1/15/1985,8,7,5,,,,,,,,,,,,,,,
1/16/1985,7,4,1,,,,,,,,,,,,,,,
1/17/1985,10,7,3,,,,,,,,,,,,,,,
1/18/1985,8,4,1,,,,,,,,,,,,,,,
1/19/1985,8,7,5,,,,,,,,,,,,,,,
1/20/1985,8,7,4,,,,,,,,,,,,,,,
1/21/1985,4,3,3,,,,,,,,,,,,,,,
1/22/1985,7,4,1,,,,,,,,,,,,,,,
1/23/1985,5,2,0,,,,,,,,,,,,,,,
1/24/1985,7,3,-1,,,,,,,,,,,,,,,
1/25/1985,7,4,2,,,,,,,,,,,,,,,
1/26/1985,2,-1,-3,,,,,,,,,,,,,,,
1/27/1985,4,1,-2,,,,,,,,,,,,,,,
1/28/1985,4,3,2,,,,,,,,,,,,,,,
1/29/1985,6,3,1,,,,,,,,,,,,,,,
1/30/1985,3,0,-3,,,,,,,,,,,,,,,
1/31/1985,6,2,-1,,,,,,,,,,,,,,,
2/1/1985,2,0,-1,,,,,,,,,,,,,,,
2/2/1985,3,1,-2,,,,,,,,,,,,,,,
2/3/1985,2,-1,-4,,,,,,,,,,,,,,,
2/4/1985,0,-3,-7,,,,,,,,,,,,,,,
2/5/1985,3,0,-2,,,,,,,,,,,,,,,
2/6/1985,6,3,0,,,,,,,,,,,,,,,
2/7/1985,4,2,1,,,,,,,,,,,,,,,
2/8/1985,4,2,0,,,,,,,,,,,,,,,
2/9/1985,-18,1,-1,,,,,,,,,,,,,,,
2/10/1985,5,3,1,,,,,,,,,,,,,,,
2/11/1985,11,7,3,,,,,,,,,,,,,,,
2/12/1985,8,6,3,,,,,,,,,,,,,,,
2/13/1985,7,3,-1,,,,,,,,,,,,,,,
2/14/1985,9,6,2,,,,,,,,,,,,,,,
2/15/1985,8,6,3,,,,,,,,,,,,,,,
2/16/1985,8,5,2,,,,,,,,,,,,,,,
2/17/1985,8,4,0,,,,,,,,,,,,,,,
2/18/1985,11,6,0,,,,,,,,,,,,,,,
2/19/1985,6,5,4,,,,,,,,,,,,,,,
2/20/1985,7,6,4,,,,,,,,,,,,,,,
2/21/1985,9,7,6,,,,,,,,,,,,,,,
2/22/1985,11,9,7,,,,,,,,,,,,,,,
2/23/1985,11,9,7,,,,,,,,,,,,,,,
2/24/1985,9,7,3,,,,,,,,,,,,,,,
2/25/1985,9,6,2,,,,,,,,,,,,,,,
2/26/1985,9,6,2,,,,,,,,,,,,,,,
2/27/1985,11,6,1,,,,,,,,,,,,,,,
2/28/1985,8,6,3,,,,,,,,,,,,,,,
3/1/1985,8,6,3,,,,,,,,,,,,,,,
3/2/1985,9,6,2,,,,,,,,,,,,,,,
3/3/1985,7,3,0,,,,,,,,,,,,,,,
3/4/1985,8,6,3,,,,,,,,,,,,,,,
3/5/1985,8,6,3,,,,,,,,,,,,,,,
3/6/1985,9,4,0,,,,,,,,,,,,,,,
3/7/1985,11,5,-1,,,,,,,,,,,,,,,
3/8/1985,13,7,1,,,,,,,,,,,,,,,
3/9/1985,12,8,3,,,,,,,,,,,,,,,
3/10/1985,11,6,1,,,,,,,,,,,,,,,
3/11/1985,11,6,0,,,,,,,,,,,,,,,
3/12/1985,10,7,3,,,,,,,,,,,,,,,
